#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00221  0.94547  0.041608  0.018145  0.000000     2.293
   0.00453  0.99578  0.00384  0.94753  0.040951  0.017970  0.000000     2.279
   0.01162  0.98916  0.00639  0.95117  0.039752  0.017666  0.000312     2.250
   0.01909  0.98218  0.00905  0.95511  0.038525  0.017346  0.000322     2.221
   0.02693  0.97484  0.01182  0.95945  0.037262  0.017004  0.000343     2.191
   0.03515  0.96714  0.01470  0.96414  0.035984  0.016645  0.000367     2.162
   0.04374  0.95909  0.01768  0.96923  0.034702  0.016267  0.000392     2.133
   0.05269  0.95068  0.02075  0.97472  0.033425  0.015874  0.000421     2.106
   0.06198  0.94195  0.02391  0.98063  0.032163  0.015466  0.000451     2.080
   0.07158  0.93291  0.02715  0.98687  0.030930  0.015051  0.000484     2.055
   0.08147  0.92358  0.03045  0.99345  0.029730  0.014632  0.000518     2.032
   0.09163  0.91399  0.03379  1.00036  0.028579  0.014208  0.000554     2.011
   0.10202  0.90417  0.03718  1.00761  0.027478  0.013782  0.000591     1.994
   0.11262  0.89414  0.04059  1.01513  0.026436  0.013359  0.000629     1.979
   0.12339  0.88392  0.04401  1.02287  0.025460  0.012941  0.000666     1.967
   0.13431  0.87355  0.04744  1.03084  0.024551  0.012530  0.000703     1.959
   0.14536  0.86305  0.05087  1.03900  0.023711  0.012126  0.000738     1.955
   0.15652  0.85242  0.05428  1.04731  0.022945  0.011732  0.000769     1.956
   0.16776  0.84170  0.05767  1.05576  0.022250  0.011349  0.000796     1.960
   0.17908  0.83090  0.06104  1.06429  0.021630  0.010979  0.000818     1.970
   0.19046  0.82003  0.06438  1.07297  0.021081  0.010618  0.000835     1.985
   0.20188  0.80909  0.06769  1.08176  0.020607  0.010266  0.000843     2.007
   0.21333  0.79812  0.07095  1.09071  0.020204  0.009922  0.000844     2.036
   0.22481  0.78710  0.07418  1.09982  0.019875  0.009586  0.000836     2.073
   0.23631  0.77604  0.07736  1.10921  0.019615  0.009251  0.000816     2.120
   0.24783  0.76497  0.08049  1.11892  0.019427  0.008918  0.000785     2.178
   0.25935  0.75387  0.08358  1.12905  0.019310  0.008581  0.000744     2.250
   0.27087  0.74275  0.08662  1.13978  0.019262  0.008236  0.000710     2.339
   0.28239  0.73162  0.08960  1.15130  0.019285  0.007877  0.000661     2.448
   0.29391  0.72049  0.09254  1.16387  0.019370  0.007497  0.000596     2.584
   0.30541  0.70935  0.09542  1.17777  0.019518  0.007090  0.000513     2.753
   0.31691  0.69820  0.09824  1.19334  0.019720  0.006649  0.000412     2.966
   0.32839  0.68706  0.10101  1.21082  0.019972  0.006171  0.000293     3.237
   0.33985  0.67593  0.10373  1.22968  0.020275  0.005678  0.000157     3.571
   0.35130  0.66479  0.10638  1.25547  0.020538  0.005022  0.000002     4.090
   0.36272  0.65367  0.10897  1.28293  0.020803  0.004359 -0.000139     4.773
   0.37411  0.64256  0.11151  1.31151  0.021050  0.003707 -0.000266     5.678
   0.38548  0.63146  0.11398  1.34246  0.021228  0.003042 -0.000335     6.978
   0.39682  0.62038  0.11639  1.37718  0.021275  0.002343 -0.000365     9.080
   0.40813  0.60932  0.11874  1.41831  0.021087  0.001572 -0.000383    13.416
   0.41941  0.59828  0.12103  1.40756  0.021303  0.001795 -0.000401    11.866
